# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Feb  8 13:56:58 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.77815 0.0900000036 1.0816895962    0.090 -1.887  3.4012  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.63e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.489 11.512 14.040 10.064
0.0152 0.01508 6.77815 0.0965024009 1.1412072182    0.096 -1.853  3.4048  3.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.86e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.401 11.425 13.954 9.977
0.0152 0.01508 6.77815 0.1023852527 1.1907278299    0.102 -1.821  3.4080  3.854    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.324 11.347 13.877 9.898
0.0152 0.01508 6.77815 0.1101965159 1.2510433197    0.110 -1.778  3.4125  3.860    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.44e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.216 11.239 13.770 9.790
0.0152 0.01508 6.77815 0.1125470549 1.2681137323    0.113 -1.767  3.4137  3.863    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.187 11.210 13.742 9.762
0.0152 0.01508 6.77815 0.1167212129 1.2973142862    0.117 -1.748  3.4155  3.867    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.72e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.140 11.159 13.687 9.711
0.0152 0.01508 6.77815 0.1281434745 1.3707349300    0.128 -1.693  3.4213  3.876    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.3e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.003 10.970 13.443 9.534
0.0152 0.01508 6.77815 0.1378664225 1.4268293381    0.138 -1.654  3.4253  3.884    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.68e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.904 10.815 13.226 9.391
0.0152 0.01508 6.77815 0.1495128870 1.4876086712    0.149 -1.603  3.4311  3.892    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.777 10.607 12.930 9.201
0.0152 0.01508 6.77815 0.1594736129 1.5349013805    0.159 -1.566  3.4350  3.899    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.71e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.686 10.466 12.739 9.071
