# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Mar  2 14:47:30 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30103 0.0900000036 1.0816895962    0.090 -1.384  3.4371  3.477    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.230 10.005 12.209 8.619
0.0152 0.01508 6.30103 0.1003484800 1.1740107536    0.100 -1.293  3.4446  3.463    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.002 9.694 11.813 8.328
0.0152 0.01508 6.30103 0.1038768440 1.2026984692    0.104 -1.283  3.4456  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.78e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.977 9.657 11.766 8.293
0.0152 0.01508 6.30103 0.1076206937 1.2317847013    0.108 -1.263  3.4472  3.474    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.929 9.591 11.681 8.231
0.0152 0.01508 6.30103 0.1124025807 1.2670779228    0.112 -1.229  3.4500  3.470    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.843 9.475 11.535 8.123
0.0152 0.01508 6.30103 0.1199523583 1.3190014362    0.120 -1.165  3.4548  3.453    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.683 9.267 11.278 7.927
0.0152 0.01508 6.30103 0.1226367429 1.3364490271    0.123 -1.167  3.4549  3.465    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.687 9.269 11.279 7.929
0.0152 0.01508 6.30103 0.1273942739 1.3661839962    0.127 -1.166  3.4553  3.482    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.686 9.261 11.265 7.922
0.0152 0.01508 6.30103 0.1321002096 1.3942092657    0.132 -1.152  3.4567  3.490    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.650 9.209 11.197 7.874
0.0152 0.01508 6.30103 0.1367372870 1.4205828905    0.137 -1.126  3.4590  3.487    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.64e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.584 9.119 11.083 7.790
0.0152 0.01508 6.30103 0.1411084533 1.4444009066    0.141 -1.096  3.4614  3.481    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.509 9.022 10.964 7.699
0.0152 0.01508 6.30103 0.1466298699 1.4731504917    0.147 -1.090  3.4622  3.495    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.82e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.495 8.999 10.933 7.677
0.0152 0.01508 6.30103 0.1519961953 1.4997749329    0.152 -1.088  3.4629  3.511    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.490 8.985 10.913 7.666
0.0152 0.01508 6.30103 0.1572156847 1.5245237350    0.157 -1.079  3.4642  3.522    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.64e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.466 8.949 10.864 7.632
0.0152 0.01508 6.30103 0.1654394865 1.5614259243    0.165 -1.042  3.4678  3.521    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.92e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.374 8.825 10.709 7.517
0.0152 0.01508 6.30103 0.1736727655 1.5960558653    0.174 -1.018  3.4701  3.528    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.04e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.314 8.743 10.606 7.440
0.0152 0.01508 6.30103 0.1819212735 1.6286733150    0.182 -1.010  3.4714  3.546    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.295 8.712 10.563 7.412
0.0152 0.01508 6.30103 0.1901396066 1.6593134403    0.190 -1.006  3.4727  3.566    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.286 8.690 10.529 7.393
0.0152 0.01508 6.30103 0.1982876956 1.6880376339    0.198 -0.995  3.4747  3.581    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.259 8.644 10.466 7.353
0.0152 0.01508 6.30103 0.2096798420 1.7257218361    0.210 -0.961  3.4788  3.588    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.172 8.523 10.310 7.241
0.0152 0.01508 6.30103 0.2221841067 1.7641355991    0.222 -0.928  3.4826  3.596    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.091 8.410 10.163 7.138
0.0152 0.01508 6.30103 0.2346429080 1.7997118235    0.235 -0.905  3.4858  3.609    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.12e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.033 8.325 10.049 7.061
0.0152 0.01508 6.30103 0.2471397072 1.8330111504    0.247 -0.892  3.4884  3.628    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.999 8.267 9.966 7.011
0.0152 0.01508 6.30103 0.2602122128 1.8655798435    0.260 -0.866  3.4922  3.640    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.935 8.175 9.844 6.927
0.0152 0.01508 6.30103 0.2795838416 1.9101192951    0.280 -0.826  3.4975  3.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.836 8.040 9.671 6.803
0.0152 0.01508 6.30103 0.2996886671 1.9522901773    0.300 -0.795  3.5021  3.670    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.757 7.928 9.526 6.703
0.0152 0.01508 6.30103 0.3123556972 1.9770158529    0.312 -0.772  3.5054  3.678    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.57e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.699 7.848 9.422 6.630
0.0152 0.01508 6.30103 0.3423482478 2.0306952000    0.342 -0.721  3.5127  3.696    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.573 7.671 9.192 6.470
0.0152 0.01508 6.30103 0.3500000238 2.0434176922    0.350 -0.709  3.5144  3.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.92e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.543 7.628 9.136 6.432
0.0152 0.01508 6.30103 0.3808003068 2.0911924839    0.381 -0.657  3.5222  3.717    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.28e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.413 7.443 8.890 6.267
0.0152 0.01508 6.30103 0.4000000358 2.1185026169    0.400 -0.627  3.5268  3.726    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.49e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.338 7.335 8.746 6.172
0.0152 0.01508 6.30103 0.4391012192 2.1691899300    0.439 -0.566  3.5365  3.744    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.99e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.185 7.115 8.451 5.979
0.0152 0.01508 6.30103 0.4536458850 2.1865684986    0.453 -0.545  3.5400  3.752    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.15e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.133 7.039 8.349 5.913
0.0152 0.01508 6.30103 0.4855794013 2.2223036289    0.486 -0.497  3.5481  3.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.61e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.012 6.859 8.106 5.759
0.0152 0.01508 6.30103 0.5000000000 2.2374541759    0.500 -0.475  3.5517  3.771    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.83e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.958 6.779 7.997 5.691
